Título,Fecha,Descripción,URL,Fuente
Abdala descarta que haya zonas en la región sin control del Estado,15/04/2025,"El delegado presidencial de La Araucanía desestimó así las acusaciones de la Multigremial, que denunció ayer que existen más de 12 mil hectáreas controladas por grupos violentistas.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Hospital HHHA detectó 24 casos de tuberculosis en 2024,15/04/2025,"Chile mantenía una tendencia a la baja en las tasas de incidencia, pero desde la pandemia de COVID-19 se ha observado un repunte tanto a nivel nacional como internacional.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Multigremial acusa al delegado presidencial de permitir zonas bajo control de grupos armados,15/04/2025,"También culparon al gobernador regional René Saffirio. Exigen una operación sostenida para retomar el control de las ""zonas fuera del Estado"".",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Multigremial denuncia que hay 12 mil hectáreas a las que el Estado no puede entrar en La Araucanía,14/04/2025,,https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Condenan a último integrante de banda que asaltaba y robaba vehículos en Ercilla,14/04/2025,"Carlos Fierro Huenuman, junto a los hermanos Isaac y Juan Queipul Quidel, Kevin Rubilar Quiñimil y Javier Melillán Cifuentes fueron condenados a distintas penas.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Conozca los beneficios económicos y ambientales de Basura Cero,14/04/2025,"La RADA compartió experiencias y análisis sobre el impacto positivo de las políticas de basura cero en distintos países, donde han demostrado ser una estrategia efectiva para el desarrollo sostenible.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Qué es el permiso de Reunificación Familiar para migrantes,14/04/2025,"Especialista de la UTalca aclaró que se trata de un permiso de residencia temporal vigente desde el 2020 y que, para obtenerlo, hay que cumplir con una serie de requisitos.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Diputado Schubert adelanta que buscarán solución para agricultores que no alcanzaron a quemar,14/04/2025,Cientos de parceleros y comuneros mapuche de Temuco y Padre Las Casas no pudieron quemar sus rastrojos debido a la suspensión de quemas de Conaf.,https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Más de 250 personas habrían muerto por cáncer colorrectal en La Araucanía en 2024,13/04/2025,Se estima que de aquí a 10 años será la primera causa de muerte oncológica en nuestro país.,https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
Laguna de Huiscapi logra reconocimiento como Humedal Urbano,13/04/2025,"Ubicado en la comuna de Loncoche, el humedal cuenta con aproximadamente 3,07 hectáreas, las cuales albergan mamíferos, anfibios, aves, peces y más de 70 especies de flora.",https://araucaniadiario.cl/default/listar_contenido?p=1,Araucanía Diario
